id,postCode,postName,postAddress,dairaName,wilayaCode,wilayaName
0,01000,Adrar,Adrar Centre Rue Des Marytim,Adrar,01,Adrar
1,01002,Adrar Sidi Med Belekbir,Cité 140 Logts Adrar Djadida,Adrar,01,Adrar
2,01003,Aoulef,Daira Aoulef,Aoulef,01,Adrar
3,01004,Reggane,Daira Reggane Centre,Reggane,01,Adrar
4,01005,Adrar 1er Nov.54,Cité 400logts Adrar Centre,Adrar,01,Adrar
5,01006,Adrar Cité Administrative,Cité Adm Adrar Tillilane,Adrar,01,Adrar
6,01007,Zaouiet Kounta,Daira Zt Kounta,Zaouiat Kounta,01,Adrar
7,01008,Zaouiet Sidi Aek,Daira Fenougil,Fenoughil,01,Adrar
8,01009,Sali,APC Sali,Reggane,01,Adrar
9,01011,T'Sabit,Daira Tsabit,Tsabit,01,Adrar
10,01015,Brinkane,Ksar Brinkane,Tsabit,01,Adrar
11,01016,Adgha,Adrar Ksar Adgha,Adrar,01,Adrar
12,01017,Bahou,Ksar Bahou,Reggane,01,Adrar
13,01018,Adrar Hay El Gharbi,Adrar Hai El Gharbi,Adrar,01,Adrar
14,01019,Oudjlane,APC Tsabit,Tsabit,01,Adrar
15,01020,Djedid,APC Tamest,Fenoughil,01,Adrar
16,01021,Boufadi,Ksar Boufadi,Fenoughil,01,Adrar
17,01022,Sbaa,APC Sbaa,Tsabit,01,Adrar
18,01023,Bouda El Mansour,APC Bouda El Mansour,Adrar,01,Adrar
19,01024,Lahmeur,APC Lahmeur,Fenoughil,01,Adrar
20,01025,Ouled Ahmed,APC Oahmed,Adrar,01,Adrar
21,01026,Bouda Bendraou,APC Bouda Ben Draou,Adrar,01,Adrar
22,01027,Ouadgha,Ksar Oudgha,Fenoughil,01,Adrar
23,01028,Tittaf,APC Tamest,Fenoughil,01,Adrar
24,01029,Tamentit,APC Tamentit,Fenoughil,01,Adrar
25,01030,Melouka,Ksar Mlouka,Adrar,01,Adrar
26,01031,Tit,Ksar Timokten,Aoulef,01,Adrar
27,01040,Bouali,Ksar Bouali,Zaouiat Kounta,01,Adrar
28,01041,In Belbel,Ksar Inbelbel,Aoulef,01,Adrar
29,01043,Timoktene,APC Timokten,Aoulef,01,Adrar
30,01044,Akabli,Ksar Akabli,Aoulef,01,Adrar
31,01045,In Zeglouf,Ksar Inzaglouf,Reggane,01,Adrar
32,01046,Tinourt,APC Sali,Reggane,01,Adrar
33,01047,Tillouline,Ksar Inzagmir,Zaouiat Kounta,01,Adrar
34,01048,Timadanine,Ksar Timadanine,Reggane,01,Adrar
35,01049,Tidmaine,Ksar Tidmaine,Zaouiat Kounta,01,Adrar
36,01050,Tittaouine Lakhrasse,APC Inzagmir,Zaouiat Kounta,01,Adrar
37,01056,Berriche,Ksar El Berrich,Reggane,01,Adrar
38,01057,Bouda Leghmara,Ksar Bouda Lagmara,Adrar,01,Adrar
39,01062,Adrar Cité Zerrari Med,Hai 200logts Adrar,Adrar,01,Adrar
40,01063,Adrar Universite,University Adrar,Adrar,01,Adrar
